"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_9269","","hypothetical protein","0","61","163","76","0.0","55.47445255474452","0.0","1.4723707126085036e-25","2.622586713298267e-21","2.406042856236942e-23"
"group_8679","","hypothetical protein","121","21","42","116","74.23312883435584","84.67153284671532","15.913832199546485","1.5948751110700193e-25","2.8407915478379182e-21","2.582537770761744e-23"
"group_5393","","hypothetical protein","108","13","55","124","66.25766871165644","90.51094890510949","18.73006993006993","2.2862699830635966e-25","4.0723040938328784e-21","3.668742426876467e-23"
"pic_2","","Serine protease pic autotransporter","0","59","163","78","0.0","56.934306569343065","0.0","1.4179474195354041e-24","2.525647943676462e-20","2.2550428068539837e-22"
"group_5097","","hypothetical protein","94","7","69","130","57.668711656441715","94.8905109489051","25.300207039337476","2.6979176557788414e-24","4.805530928473272e-20","4.252682237586967e-22"
"group_5460","","hypothetical protein","0","58","163","79","0.0","57.66423357664233","0.0","4.343585766171719e-24","7.736794966705066e-20","6.612645270688091e-22"
"papD_1","","Chaperone protein PapD","0","58","163","79","0.0","57.66423357664233","0.0","4.343585766171719e-24","7.736794966705066e-20","6.612645270688091e-22"
"group_6886","","hypothetical protein","0","58","163","79","0.0","57.66423357664233","0.0","4.343585766171719e-24","7.736794966705066e-20","6.612645270688091e-22"
"papF","","Fimbrial adapter PapF","0","58","163","79","0.0","57.66423357664233","0.0","4.343585766171719e-24","7.736794966705066e-20","6.612645270688091e-22"
"group_836","hipA","Serine/threonine-protein kinase toxin HipA","1","61","162","76","0.6134969325153374","55.47445255474452","0.007690750860149767","6.272668868528107e-24","1.1172877788622265e-19","9.468540498832427e-22"
"group_723","","hypothetical protein","150","53","13","84","92.02453987730061","61.31386861313869","18.287373004354137","8.516003062017464e-24","1.5168704654065507e-19","1.2743550924880248e-21"
"yjhB","","Putative metabolite transport protein YjhB","153","58","10","79","93.86503067484662","57.66423357664233","20.839655172413792","8.585370036972993e-24","1.5292261109856296e-19","1.2743550924880248e-21"
"papH_1","","PAP fimbrial minor pilin protein","0","57","163","80","0.0","58.3941605839416","0.0","1.3193641764744994e-23","2.3500514711363784e-19","1.865120215187602e-21"
"group_8913","","hypothetical protein","0","57","163","80","0.0","58.3941605839416","0.0","1.3193641764744994e-23","2.3500514711363784e-19","1.865120215187602e-21"
"group_8914","","hypothetical protein","0","57","163","80","0.0","58.3941605839416","0.0","1.3193641764744994e-23","2.3500514711363784e-19","1.865120215187602e-21"
"group_8915","","hypothetical protein","0","57","163","80","0.0","58.3941605839416","0.0","1.3193641764744994e-23","2.3500514711363784e-19","1.865120215187602e-21"
"group_8916","","hypothetical protein","0","57","163","80","0.0","58.3941605839416","0.0","1.3193641764744994e-23","2.3500514711363784e-19","1.865120215187602e-21"
"group_8917","","hypothetical protein","0","57","163","80","0.0","58.3941605839416","0.0","1.3193641764744994e-23","2.3500514711363784e-19","1.865120215187602e-21"
"group_5262","","hypothetical protein","159","69","4","68","97.54601226993866","49.63503649635037","39.17391304347826","1.7253390550785823e-23","3.0731739249059706e-19","2.4009171288327895e-21"
"group_6609","","hypothetical protein","159","69","4","68","97.54601226993866","49.63503649635037","39.17391304347826","1.7253390550785823e-23","3.0731739249059706e-19","2.4009171288327895e-21"
"group_2422","","hypothetical protein","71","0","92","137","43.558282208588956","100.0","inf","1.856050296516053e-23","3.3059967881543935e-19","2.5627882078716228e-21"
"group_2260","","hypothetical protein","63","126","100","11","38.65030674846626","8.02919708029197","0.055","2.091789533327201e-23","3.72589551676241e-19","2.866073474432623e-21"
"group_5477","","hypothetical protein","0","56","163","81","0.0","59.12408759124088","0.0","3.974380976048285e-23","7.079167394537205e-19","5.363005601922125e-21"
"group_8860","","hypothetical protein","0","56","163","81","0.0","59.12408759124088","0.0","3.974380976048285e-23","7.079167394537205e-19","5.363005601922125e-21"
"group_5486","","hypothetical protein","1","59","162","78","0.6134969325153374","56.934306569343065","0.008160703075957313","5.800052141816073e-23","1.0331052875002789e-18","7.767708928573526e-21"
